[{'config': 'experiments/SupsupSeed/splitcifar100/configs/rn18-supsup_3.yaml', 'name': 'id=supsup~seed=0~sparsity=1', 'sparsity': 1, 'seed': 0, 'log-dir': 'runs/SupsupSeed/rn18-supsup_num_masks_3', 'epochs': 250, 'data': './data'}, {'config': 'experiments/SupsupSeed/splitcifar100/configs/rn18-supsup_3.yaml', 'name': 'id=supsup~seed=0~sparsity=2', 'sparsity': 2, 'seed': 0, 'log-dir': 'runs/SupsupSeed/rn18-supsup_num_masks_3', 'epochs': 250, 'data': './data'}, {'config': 'experiments/SupsupSeed/splitcifar100/configs/rn18-supsup_3.yaml', 'name': 'id=supsup~seed=0~sparsity=4', 'sparsity': 4, 'seed': 0, 'log-dir': 'runs/SupsupSeed/rn18-supsup_num_masks_3', 'epochs': 250, 'data': './data'}, {'config': 'experiments/SupsupSeed/splitcifar100/configs/rn18-supsup_3.yaml', 'name': 'id=supsup~seed=0~sparsity=8', 'sparsity': 8, 'seed': 0, 'log-dir': 'runs/SupsupSeed/rn18-supsup_num_masks_3', 'epochs': 250, 'data': './data'}, {'config': 'experiments/SupsupSeed/splitcifar100/configs/rn18-supsup_3.yaml', 'name': 'id=supsup~seed=0~sparsity=16', 'sparsity': 16, 'seed': 0, 'log-dir': 'runs/SupsupSeed/rn18-supsup_num_masks_3', 'epochs': 250, 'data': './data'}, {'config': 'experiments/SupsupSeed/splitcifar100/configs/rn18-supsup_3.yaml', 'name': 'id=supsup~seed=0~sparsity=32', 'sparsity': 32, 'seed': 0, 'log-dir': 'runs/SupsupSeed/rn18-supsup_num_masks_3', 'epochs': 250, 'data': './data'}]
0it [00:00, ?it/s]  0%|          | 0/169001437 [00:01<?, ?it/s]  1%|          | 876544/169001437 [00:01<00:19, 8730499.72it/s]  2%|▏         | 2809856/169001437 [00:01<00:15, 10439432.56it/s]  3%|▎         | 5447680/169001437 [00:01<00:12, 12749186.54it/s]  5%|▌         | 8708096/169001437 [00:01<00:10, 15584964.01it/s]  7%|▋         | 11984896/169001437 [00:01<00:08, 18459176.83it/s]  9%|▉         | 15261696/169001437 [00:01<00:07, 21203443.34it/s] 11%|█         | 18538496/169001437 [00:01<00:06, 23663215.50it/s] 13%|█▎        | 21823488/169001437 [00:01<00:05, 25830104.00it/s] 15%|█▍        | 25010176/169001437 [00:02<00:05, 27332788.37it/s] 17%|█▋        | 28237824/169001437 [00:02<00:04, 28555177.24it/s] 19%|█▊        | 31432704/169001437 [00:02<00:04, 29418485.37it/s] 21%|██        | 35725312/169001437 [00:02<00:04, 32483741.75it/s] 25%|██▌       | 42409984/169001437 [00:02<00:03, 38396959.14it/s] 31%|███       | 52142080/169001437 [00:02<00:02, 46896481.99it/s] 37%|███▋      | 62726144/169001437 [00:02<00:01, 56300348.48it/s] 43%|████▎     | 73293824/169001437 [00:02<00:01, 65461546.22it/s] 50%|████▉     | 83902464/169001437 [00:02<00:01, 73957700.81it/s] 56%|█████▌    | 94363648/169001437 [00:02<00:00, 81067896.20it/s] 62%|██████▏   | 104849408/169001437 [00:03<00:00, 86951051.23it/s] 68%|██████▊   | 115335168/169001437 [00:03<00:00, 91641735.43it/s] 74%|███████▍  | 125313024/169001437 [00:03<00:00, 93853067.21it/s] 80%|████████  | 135282688/169001437 [00:03<00:00, 86571291.69it/s] 87%|████████▋ | 146284544/169001437 [00:03<00:00, 92457741.32it/s] 93%|█████████▎| 156901376/169001437 [00:03<00:00, 96117737.13it/s] 99%|█████████▉| 167124992/169001437 [00:03<00:00, 97860650.75it/s]169009152it [00:03, 42605295.13it/s]                               => Reading YAML config from experiments/SupsupSeed/splitcifar100/configs/rn18-supsup_3.yaml
=> Saving data in runs/SupsupSeed/rn18-supsup_num_masks_3/id=supsup~seed=0~sparsity=1~try=0
Downloading https://www.cs.toronto.edu/~kriz/cifar-100-python.tar.gz to ./data/cifar100/cifar-100-python.tar.gz
Extracting ./data/cifar100/cifar-100-python.tar.gz to ./data/cifar100
Files already downloaded and verified
[26 86  2 55 75 93 16 73 54 95 53 92 78 13  7 30 22 24 33  8 43 62  3 71
 45 48  6 99 82 76 60 80 90 68 51 27 18 56 63 74  1 61 42 41  4 15 17 40
 38  5 91 59  0 34 28 50 11 35 23 52 10 31 66 57 79 85 32 84 14 89 19 29
 49 97 98 69 20 94 72 77 25 37 81 46 39 65 58 12 88 70 87 36 21 83  9 96
 67 64 47 44]
[26 86  2 55 75]
[93 16 73 54 95]
[53 92 78 13  7]
Set sparsity of conv1 to 0.04259259259259259
Set sparsity of layer1.0.conv1 to 0.011111111111111112
Set sparsity of layer1.0.conv2 to 0.011111111111111112
Set sparsity of layer1.1.conv1 to 0.011111111111111112
Set sparsity of layer1.1.conv2 to 0.011111111111111112
Set sparsity of layer2.0.conv1 to 0.008333333333333333
Set sparsity of layer2.0.conv2 to 0.005555555555555556
Set sparsity of layer2.0.shortcut.0 to 0.075
Set sparsity of layer2.1.conv1 to 0.005555555555555556
Set sparsity of layer2.1.conv2 to 0.005555555555555556
Set sparsity of layer3.0.conv1 to 0.004166666666666667
Set sparsity of layer3.0.conv2 to 0.002777777777777778
Set sparsity of layer3.0.shortcut.0 to 0.0375
Set sparsity of layer3.1.conv1 to 0.002777777777777778
Set sparsity of layer3.1.conv2 to 0.002777777777777778
Set sparsity of layer4.0.conv1 to 0.0020833333333333333
Set sparsity of layer4.0.conv2 to 0.001388888888888889
Set sparsity of layer4.0.shortcut.0 to 0.01875
Set sparsity of layer4.1.conv1 to 0.001388888888888889
Set sparsity of layer4.1.conv2 to 0.001388888888888889
Set sparsity of linear to 0.20625
=> Parallelizing on [0] gpus
=> Using trainer <module 'trainers.default' from '/home/at2507/supsup_team/supsup/trainers/default.py'>
Train Epoch: 31 [0/2500 (0%)]	Loss: 0.934197
Train Epoch: 31 [1280/2500 (50%)]	Loss: 1.123382

Test set: Average loss: 0.9066, Accuracy: (0.6640)

Train Epoch: 32 [0/2500 (0%)]	Loss: 0.912912
Train Epoch: 32 [1280/2500 (50%)]	Loss: 1.044777

Test set: Average loss: 0.8802, Accuracy: (0.6600)

Train Epoch: 33 [0/2500 (0%)]	Loss: 0.866109
Train Epoch: 33 [1280/2500 (50%)]	Loss: 1.076107

Test set: Average loss: 0.8465, Accuracy: (0.6860)

Train Epoch: 34 [0/2500 (0%)]	Loss: 0.895984
Train Epoch: 34 [1280/2500 (50%)]	Loss: 0.962731

Test set: Average loss: 0.8510, Accuracy: (0.6620)

Train Epoch: 35 [0/2500 (0%)]	Loss: 1.000894
Train Epoch: 35 [1280/2500 (50%)]	Loss: 0.865374

Test set: Average loss: 0.9201, Accuracy: (0.6700)

Train Epoch: 36 [0/2500 (0%)]	Loss: 0.943333
Train Epoch: 36 [1280/2500 (50%)]	Loss: 0.870741

Test set: Average loss: 0.9046, Accuracy: (0.6500)

Train Epoch: 37 [0/2500 (0%)]	Loss: 0.741982
Train Epoch: 37 [1280/2500 (50%)]	Loss: 0.813765

Test set: Average loss: 0.9533, Accuracy: (0.6420)

Train Epoch: 38 [0/2500 (0%)]	Loss: 0.898500
Train Epoch: 38 [1280/2500 (50%)]	Loss: 0.970167

Test set: Average loss: 0.8861, Accuracy: (0.6720)

Train Epoch: 39 [0/2500 (0%)]	Loss: 0.891442
Train Epoch: 39 [1280/2500 (50%)]	Loss: 0.932335

Test set: Average loss: 0.9118, Accuracy: (0.6560)

Train Epoch: 40 [0/2500 (0%)]	Loss: 0.870234
Train Epoch: 40 [1280/2500 (50%)]	Loss: 0.805970

Test set: Average loss: 0.9072, Accuracy: (0.6520)

Train Epoch: 41 [0/2500 (0%)]	Loss: 0.902151
Train Epoch: 41 [1280/2500 (50%)]	Loss: 0.868394

Test set: Average loss: 0.8753, Accuracy: (0.6580)

Train Epoch: 42 [0/2500 (0%)]	Loss: 0.757491
Train Epoch: 42 [1280/2500 (50%)]	Loss: 0.854720

Test set: Average loss: 0.8880, Accuracy: (0.6540)

Train Epoch: 43 [0/2500 (0%)]	Loss: 0.832863
Train Epoch: 43 [1280/2500 (50%)]	Loss: 0.846893

Test set: Average loss: 0.8436, Accuracy: (0.6780)

Train Epoch: 44 [0/2500 (0%)]	Loss: 0.936317
Train Epoch: 44 [1280/2500 (50%)]	Loss: 0.919618

Test set: Average loss: 0.8551, Accuracy: (0.6740)

Train Epoch: 45 [0/2500 (0%)]	Loss: 0.935733
Train Epoch: 45 [1280/2500 (50%)]	Loss: 0.847641

Test set: Average loss: 0.8788, Accuracy: (0.6560)

Train Epoch: 46 [0/2500 (0%)]	Loss: 0.963009
Train Epoch: 46 [1280/2500 (50%)]	Loss: 0.906794

Test set: Average loss: 0.9108, Accuracy: (0.6500)

Train Epoch: 47 [0/2500 (0%)]	Loss: 0.745130
Train Epoch: 47 [1280/2500 (50%)]	Loss: 0.827995

Test set: Average loss: 0.8659, Accuracy: (0.6540)

Train Epoch: 48 [0/2500 (0%)]	Loss: 0.821251
Train Epoch: 48 [1280/2500 (50%)]	Loss: 0.946478

Test set: Average loss: 0.8480, Accuracy: (0.6800)

Train Epoch: 49 [0/2500 (0%)]	Loss: 0.992304
Train Epoch: 49 [1280/2500 (50%)]	Loss: 0.741616

Test set: Average loss: 0.9255, Accuracy: (0.6220)

Train Epoch: 50 [0/2500 (0%)]	Loss: 0.813579
Train Epoch: 50 [1280/2500 (50%)]	Loss: 0.938945

Test set: Average loss: 0.8613, Accuracy: (0.6800)

Train Epoch: 51 [0/2500 (0%)]	Loss: 0.855572
Train Epoch: 51 [1280/2500 (50%)]	Loss: 0.804245

Test set: Average loss: 0.8937, Accuracy: (0.6500)

Train Epoch: 52 [0/2500 (0%)]	Loss: 0.851309
Train Epoch: 52 [1280/2500 (50%)]	Loss: 0.915948

Test set: Average loss: 0.8630, Accuracy: (0.6660)

Train Epoch: 53 [0/2500 (0%)]	Loss: 0.840813
Train Epoch: 53 [1280/2500 (50%)]	Loss: 0.764025

Test set: Average loss: 0.8760, Accuracy: (0.6640)

Train Epoch: 54 [0/2500 (0%)]	Loss: 0.797008
Train Epoch: 54 [1280/2500 (50%)]	Loss: 0.856322

Test set: Average loss: 0.8259, Accuracy: (0.6780)

Train Epoch: 55 [0/2500 (0%)]	Loss: 0.879047
Train Epoch: 55 [1280/2500 (50%)]	Loss: 0.906347

Test set: Average loss: 0.8150, Accuracy: (0.7140)

Train Epoch: 56 [0/2500 (0%)]	Loss: 0.835177
Train Epoch: 56 [1280/2500 (50%)]	Loss: 0.872771

Test set: Average loss: 0.9150, Accuracy: (0.6660)

Train Epoch: 57 [0/2500 (0%)]	Loss: 0.868057
Train Epoch: 57 [1280/2500 (50%)]	Loss: 0.859162

Test set: Average loss: 0.8717, Accuracy: (0.6540)

Train Epoch: 58 [0/2500 (0%)]	Loss: 0.783110
Train Epoch: 58 [1280/2500 (50%)]	Loss: 1.017487

Test set: Average loss: 0.9245, Accuracy: (0.6340)

Train Epoch: 59 [0/2500 (0%)]	Loss: 1.002905
Train Epoch: 59 [1280/2500 (50%)]	Loss: 0.823171

Test set: Average loss: 0.8538, Accuracy: (0.6640)

Train Epoch: 60 [0/2500 (0%)]	Loss: 0.945337
Train Epoch: 60 [1280/2500 (50%)]	Loss: 0.831439

Test set: Average loss: 0.8725, Accuracy: (0.6620)

Train Epoch: 61 [0/2500 (0%)]	Loss: 0.721240
Train Epoch: 61 [1280/2500 (50%)]	Loss: 0.853079

Test set: Average loss: 0.8260, Accuracy: (0.6900)

Train Epoch: 62 [0/2500 (0%)]	Loss: 0.769801
Train Epoch: 62 [1280/2500 (50%)]	Loss: 0.764021

Test set: Average loss: 0.8422, Accuracy: (0.6680)

Train Epoch: 63 [0/2500 (0%)]	Loss: 0.794356
Train Epoch: 63 [1280/2500 (50%)]	Loss: 0.706215

Test set: Average loss: 0.8076, Accuracy: (0.7160)

Train Epoch: 64 [0/2500 (0%)]	Loss: 0.622831
Train Epoch: 64 [1280/2500 (50%)]	Loss: 0.874490

Test set: Average loss: 0.9009, Accuracy: (0.6740)

Train Epoch: 65 [0/2500 (0%)]	Loss: 0.864043
Train Epoch: 65 [1280/2500 (50%)]	Loss: 0.886320

Test set: Average loss: 0.8525, Accuracy: (0.6580)

Train Epoch: 66 [0/2500 (0%)]	Loss: 1.019005
Train Epoch: 66 [1280/2500 (50%)]	Loss: 0.753069

Test set: Average loss: 0.8549, Accuracy: (0.6680)

Train Epoch: 67 [0/2500 (0%)]	Loss: 0.872153
Train Epoch: 67 [1280/2500 (50%)]	Loss: 0.861129

Test set: Average loss: 0.8182, Accuracy: (0.6800)

Train Epoch: 68 [0/2500 (0%)]	Loss: 0.836228
Train Epoch: 68 [1280/2500 (50%)]	Loss: 0.868986

Test set: Average loss: 0.8028, Accuracy: (0.6980)

Train Epoch: 69 [0/2500 (0%)]	Loss: 0.707866
Train Epoch: 69 [1280/2500 (50%)]	Loss: 1.037842

Test set: Average loss: 0.8961, Accuracy: (0.6440)

Train Epoch: 70 [0/2500 (0%)]	Loss: 1.012874
Train Epoch: 70 [1280/2500 (50%)]	Loss: 0.739679

Test set: Average loss: 0.8296, Accuracy: (0.6800)

Train Epoch: 71 [0/2500 (0%)]	Loss: 0.845203
Train Epoch: 71 [1280/2500 (50%)]	Loss: 0.952830

Test set: Average loss: 0.8162, Accuracy: (0.6820)

Train Epoch: 72 [0/2500 (0%)]	Loss: 0.870650
Train Epoch: 72 [1280/2500 (50%)]	Loss: 0.770225

Test set: Average loss: 0.8512, Accuracy: (0.6780)

Train Epoch: 73 [0/2500 (0%)]	Loss: 0.766349
Train Epoch: 73 [1280/2500 (50%)]	Loss: 0.924773

Test set: Average loss: 0.8208, Accuracy: (0.6760)

Train Epoch: 74 [0/2500 (0%)]	Loss: 0.890335
Train Epoch: 74 [1280/2500 (50%)]	Loss: 0.928855

Test set: Average loss: 0.8097, Accuracy: (0.6820)

Train Epoch: 75 [0/2500 (0%)]	Loss: 0.794133
Train Epoch: 75 [1280/2500 (50%)]	Loss: 0.811593

Test set: Average loss: 0.8800, Accuracy: (0.6480)

Train Epoch: 76 [0/2500 (0%)]	Loss: 0.954836
Train Epoch: 76 [1280/2500 (50%)]	Loss: 1.002111

Test set: Average loss: 0.8316, Accuracy: (0.6820)

Train Epoch: 77 [0/2500 (0%)]	Loss: 0.741421
Train Epoch: 77 [1280/2500 (50%)]	Loss: 0.854195

Test set: Average loss: 0.8911, Accuracy: (0.6640)

Train Epoch: 78 [0/2500 (0%)]	Loss: 0.886082
Train Epoch: 78 [1280/2500 (50%)]	Loss: 0.860502

Test set: Average loss: 0.8165, Accuracy: (0.6880)

Train Epoch: 79 [0/2500 (0%)]	Loss: 0.785002
Train Epoch: 79 [1280/2500 (50%)]	Loss: 0.814210

Test set: Average loss: 0.8412, Accuracy: (0.6780)

Train Epoch: 80 [0/2500 (0%)]	Loss: 0.802315
Train Epoch: 80 [1280/2500 (50%)]	Loss: 0.854930

Test set: Average loss: 0.7913, Accuracy: (0.6840)

Train Epoch: 81 [0/2500 (0%)]	Loss: 0.865024
Train Epoch: 81 [1280/2500 (50%)]	Loss: 0.880538

Test set: Average loss: 0.8582, Accuracy: (0.6600)

Train Epoch: 82 [0/2500 (0%)]	Loss: 0.831101
Train Epoch: 82 [1280/2500 (50%)]	Loss: 0.800246

Test set: Average loss: 0.8500, Accuracy: (0.6680)

Train Epoch: 83 [0/2500 (0%)]	Loss: 0.753209
Train Epoch: 83 [1280/2500 (50%)]	Loss: 0.904418

Test set: Average loss: 0.8606, Accuracy: (0.6700)

Train Epoch: 84 [0/2500 (0%)]	Loss: 0.712661
Train Epoch: 84 [1280/2500 (50%)]	Loss: 0.832321

Test set: Average loss: 0.8836, Accuracy: (0.6760)

Train Epoch: 85 [0/2500 (0%)]	Loss: 0.857427
Train Epoch: 85 [1280/2500 (50%)]	Loss: 0.836911

Test set: Average loss: 0.8639, Accuracy: (0.6440)

Train Epoch: 86 [0/2500 (0%)]	Loss: 0.751545
Train Epoch: 86 [1280/2500 (50%)]	Loss: 0.701120

Test set: Average loss: 0.8938, Accuracy: (0.6360)

Train Epoch: 87 [0/2500 (0%)]	Loss: 0.870701
